"","gender","numYears","numRaters","numCourses","pepper","discipline","quality","helpfulness","clarity","easiness","raterInterest","area"
"302","female",1,16,3,"no","STEM",2.40625,2.375,2.4375,1.9375,2.875,"Midwest"
"92","female",2,20,5,"no","Hum",3.925,4,3.5,3.85,3.25,"Midwest"
"250","male",11,25,12,"no","STEM",4.62,4.72,4.52,2.48,4.117647059,"Midwest"
"123","female",5,67,3,"no","Hum",2.97761194,2.955223881,3,2.373134328,2.552238806,"Midwest"
"276","male",3,15,3,"no","STEM",2.5,2.73333333333333,2.26666666666667,2.73333333333333,3,"Midwest"
"167","female",6,19,4,"no","SocSci",4.684210526,4.894736842,4.473684211,4.210526316,4.368421053,"Midwest"
"112","female",11,21,5,"no","Hum",3.095238095,3.142857143,3.047619048,3.857142857,2.85,"Midwest"
"139","male",6,18,3,"no","SocSci",3.583333333,3.222222222,3.944444444,3.833333333,3,"Midwest"
"232","male",11,67,4,"no","STEM",4.36567164179105,4.44776119402985,4.28358208955224,1.82089552238806,3.61194029850746,"Midwest"
"115","female",11,58,5,"no","Hum",3.18965517241379,3.20689655172414,3.17241379310345,3.67241379310345,3.33333333333333,"Midwest"
"19","male",6,11,5,"no","Hum",3.90909090909091,4.09090909090909,3.72727272727273,2.27272727272727,4,"Midwest"
"185","female",8,11,2,"no","SocSci",3.636363636,4.090909091,3.181818182,3.363636364,4.714285714,"Midwest"
"113","female",5,33,6,"no","Hum",2.46969697,2.454545455,2.484848485,2.666666667,3.363636364,"Midwest"
"62","male",5,33,3,"no","Hum",2.924242424,2.696969697,3.151515152,3.454545455,2.696969697,"Midwest"
"26","male",11,35,6,"no","Hum",3.114285714,3.057142857,3.171428571,3.857142857,3,"Midwest"
"351","female",11,22,9,"yes","Pre-prof",4.340909091,4.545454545,4.090909091,4.454545455,3.636363636,"Midwest"
"106","female",11,27,5,"no","Hum",3.537037037,3.62962963,3.444444444,2.814814815,3.166666667,"Midwest"
"319","male",2,10,1,"no","Pre-prof",2.6,3.1,2.2,4.3,2.6,"Midwest"
"137","male",2,33,2,"no","SocSci",4.757575758,4.818181818,4.696969697,3.96969697,4,"Midwest"
"264","male",11,53,8,"no","STEM",3.264150943,3.339622642,3.188679245,3.528301887,2.978723404,"Midwest"
